,edition,ruling,number_ruling,lie
11868,Missouri,True,0,0
11870,Florida,Mostly True,1,0
11871,Texas,Half-True,2,0
11872,North Carolina,Mostly True,1,0
11873,California,Mostly True,1,0
11874,Pennsylvania,Mostly False,3,1
11875,Wisconsin,Mostly False,3,1
11881,Texas,Pants on Fire!,5,1
11884,Texas,Mostly True,1,0
11885,North Carolina,Half-True,2,0
11888,Florida,Mostly True,1,0
11889,Virginia,Mostly False,3,1
11890,Ohio,Mostly False,3,1
11894,Colorado,Half-True,2,0
11895,Wisconsin,Mostly True,1,0
11896,New Hampshire,True,0,0
11899,Arizona,False,4,1
11901,Nevada,Half-True,2,0
11902,Florida,Half-True,2,0
11903,Florida,True,0,0
11906,Texas,Mostly True,1,0
11910,Wisconsin,Half-True,2,0
11911,Florida,False,4,1
11912,Texas,False,4,1
11914,Wisconsin,Mostly True,1,0
11916,California,Mostly True,1,0
11917,Wisconsin,Mostly True,1,0
11918,Pennsylvania,Mostly False,3,1
11920,Ohio,True,0,0
11921,Wisconsin,False,4,1
11922,Texas,Mostly False,3,1
11923,Texas,True,0,0
11924,California,Mostly False,3,1
11927,Virginia,Mostly False,3,1
11928,Virginia,False,4,1
11931,Wisconsin,Mostly True,1,0
11932,Texas,Mostly False,3,1
11934,Nevada,Mostly True,1,0
11937,Wisconsin,Half-True,2,0
11939,North Carolina,Mostly False,3,1
11940,Arizona,Mostly True,1,0
11941,Florida,Half-True,2,0
11942,Virginia,True,0,0
11944,Florida,Mostly False,3,1
11945,Florida,Half-True,2,0
11947,Wisconsin,Half-True,2,0
11948,Wisconsin,Mostly False,3,1
11949,Ohio,Half-True,2,0
11951,New Hampshire,Half-True,2,0
11955,New York,Mostly True,1,0
11958,North Carolina,True,0,0
11959,Wisconsin,True,0,0
11960,Wisconsin,True,0,0
11962,Illinois,Half-True,2,0
11963,Virginia,Mostly False,3,1
11964,Virginia,Mostly True,1,0
11967,Colorado,Pants on Fire!,5,1
11971,Florida,Mostly True,1,0
11972,Florida,Mostly True,1,0
11973,Nevada,Mostly False,3,1
11976,Florida,Mostly False,3,1
11978,Pennsylvania,Half-True,2,0
11979,Ohio,Mostly False,3,1
11980,New York,Mostly False,3,1
11981,New York,Mostly False,3,1
11982,North Carolina,True,0,0
11983,North Carolina,Mostly True,1,0
11984,Arizona,Half-True,2,0
11985,Wisconsin,Mostly False,3,1
11988,Virginia,Mostly True,1,0
11989,California,Mostly False,3,1
11990,Florida,Mostly False,3,1
11991,Florida,Mostly False,3,1
11992,Illinois,False,4,1
11995,Nevada,Mostly False,3,1
11996,Pennsylvania,Half-True,2,0
11999,Illinois,True,0,0
12001,Arizona,False,4,1
12002,Colorado,True,0,0
12004,Virginia,True,0,0
12007,New York,Half-True,2,0
12008,Wisconsin,Half-True,2,0
12010,New York,Mostly True,1,0
12012,North Carolina,Mostly True,1,0
12013,Florida,True,0,0
12015,Texas,Half-True,2,0
12016,California,True,0,0
12017,New Hampshire,Half-True,2,0
12020,Pennsylvania,Mostly True,1,0
12021,Wisconsin,True,0,0
12023,Ohio,Pants on Fire!,5,1
12027,Florida,False,4,1
12032,Virginia,Mostly False,3,1
12033,Wisconsin,Mostly False,3,1
12034,Nevada,Mostly True,1,0
12036,California,Mostly True,1,0
12037,Florida,Mostly False,3,1
12044,Pennsylvania,Mostly False,3,1
12045,Florida,False,4,1
12046,Colorado,Mostly False,3,1
12047,Florida,False,4,1
12050,Ohio,Mostly False,3,1
12056,Wisconsin,Half-True,2,0
12057,Illinois,False,4,1
12058,Illinois,Half-True,2,0
12060,North Carolina,Mostly True,1,0
12062,Florida,Mostly False,3,1
12066,Florida,Mostly True,1,0
12076,New York,True,0,0
12077,Texas,Pants on Fire!,5,1
12078,Texas,Mostly True,1,0
12079,Virginia,Pants on Fire!,5,1
12080,Virginia,Pants on Fire!,5,1
12082,Florida,Mostly True,1,0
12085,Virginia,Mostly False,3,1
12094,Wisconsin,Half-True,2,0
12096,California,Mostly True,1,0
12100,Florida,Mostly True,1,0
12106,New York,False,4,1
12107,New York,Half-True,2,0
12108,New York,Half-True,2,0
12109,Colorado,Mostly False,3,1
12110,Arizona,Mostly True,1,0
12111,Arizona,False,4,1
12112,Wisconsin,Mostly False,3,1
12113,Nevada,False,4,1
12114,North Carolina,Mostly True,1,0
12115,Texas,Mostly False,3,1
12116,Nevada,Mostly False,3,1
12117,Florida,Mostly True,1,0
12122,Florida,Half-True,2,0
12124,California,Half-True,2,0
12128,Pennsylvania,Pants on Fire!,5,1
12129,Illinois,Mostly False,3,1
12130,Virginia,Mostly True,1,0
12133,Ohio,True,0,0
12134,Florida,Mostly True,1,0
12142,Virginia,True,0,0
12143,Texas,False,4,1
12144,Texas,Half-True,2,0
12145,Texas,Mostly False,3,1
12147,Pennsylvania,False,4,1
12149,Ohio,Mostly True,1,0
12150,Virginia,False,4,1
12152,Wisconsin,Mostly False,3,1
12154,Wisconsin,False,4,1
12158,Wisconsin,Half-True,2,0
12159,Pennsylvania,Mostly False,3,1
12163,Florida,Half-True,2,0
12164,New York,False,4,1
12166,New York,True,0,0
12167,Ohio,Mostly True,1,0
12168,Florida,Mostly False,3,1
12169,Colorado,Pants on Fire!,5,1
12170,Nevada,True,0,0
12172,Illinois,True,0,0
12173,Illinois,Mostly False,3,1
12177,California,Mostly False,3,1
12178,New Hampshire,Pants on Fire!,5,1
12180,Florida,True,0,0
12186,North Carolina,Half-True,2,0
12189,Virginia,False,4,1
12190,Florida,Pants on Fire!,5,1
12194,Arizona,Mostly True,1,0
12195,Colorado,Mostly False,3,1
12196,Georgia,Mostly True,1,0
12198,Wisconsin,Mostly True,1,0
12199,Nevada,Mostly False,3,1
12200,Florida,Mostly False,3,1
12201,North Carolina,Mostly True,1,0
12203,Illinois,Mostly True,1,0
12204,Wisconsin,False,4,1
12205,Wisconsin,Half-True,2,0
12206,Florida,Mostly True,1,0
12208,Pennsylvania,True,0,0
12211,California,True,0,0
12212,North Carolina,False,4,1
12214,Florida,Mostly False,3,1
12217,Ohio,Mostly False,3,1
12218,Pennsylvania,Pants on Fire!,5,1
12219,Wisconsin,True,0,0
12220,Texas,False,4,1
12221,Wisconsin,Half-True,2,0
12222,Wisconsin,Half-True,2,0
12224,Virginia,Half-True,2,0
12226,Nevada,Mostly False,3,1
12227,Ohio,Pants on Fire!,5,1
12228,Pennsylvania,Mostly False,3,1
12230,Texas,True,0,0
12233,Virginia,Half-True,2,0
12235,Florida,Mostly True,1,0
12236,Florida,Mostly False,3,1
12238,North Carolina,Mostly False,3,1
12241,Texas,Mostly True,1,0
12242,Arizona,Half-True,2,0
12243,Texas,Mostly True,1,0
12245,Texas,True,0,0
12246,Illinois,Mostly False,3,1
12249,California,True,0,0
12250,Pennsylvania,Mostly False,3,1
12251,Wisconsin,False,4,1
12252,Florida,Mostly False,3,1
12254,Virginia,Mostly True,1,0
12256,Virginia,Mostly False,3,1
12258,Florida,Half-True,2,0
12261,California,Mostly True,1,0
12262,Ohio,Mostly False,3,1
12265,Illinois,Mostly False,3,1
12268,Florida,True,0,0
12269,Pennsylvania,Half-True,2,0
12270,Arizona,Half-True,2,0
